,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ManchesterUnited_5403,63.0,8.0,22.0,7.0,8.0,11.0,2.0,17.0,14.0,0.0,7.0,23.0,7.0,28.0,574.0,84.0
ManchesterUnited_5416,56.0,8.5,15.5,4.5,6.5,7.5,2.5,21.0,12.0,2.5,4.5,28.5,11.0,26.0,515.0,81.5
ManchesterUnited_5436,52.0,6.666666666666667,13.0,3.0,5.666666666666667,6.666666666666667,2.0,19.666666666666668,11.0,4.333333333333333,4.333333333333333,27.0,8.333333333333334,21.333333333333332,411.0,77.33333333333333
ManchesterUnited_5452,50.25,7.25,10.5,2.75,4.5,5.25,1.75,22.5,11.5,4.0,3.25,27.75,8.75,20.5,427.75,78.25
ManchesterUnited_5464,53.0,7.8,11.6,4.0,4.2,6.0,1.6,22.0,10.8,3.8,3.4,25.4,8.2,20.6,459.8,80.4
ManchesterUnited_5472,52.333333333333336,9.666666666666666,11.166666666666666,4.166666666666667,3.8333333333333335,6.0,2.0,24.833333333333332,12.0,3.8333333333333335,3.1666666666666665,26.666666666666668,7.5,21.5,449.0,78.83333333333333
ManchesterUnited_5476,53.0,10.0,10.428571428571429,3.857142857142857,3.857142857142857,6.142857142857143,2.0,25.285714285714285,12.571428571428571,3.4285714285714284,2.7142857142857144,25.285714285714285,7.0,21.571428571428573,457.14285714285717,79.57142857142857
ManchesterUnited_5492,53.75,10.0,10.625,4.25,3.625,5.75,2.0,26.125,13.375,3.5,2.75,25.625,7.125,22.0,474.375,79.25
ManchesterUnited_5514,54.111111111111114,10.333333333333334,11.444444444444445,4.444444444444445,3.888888888888889,6.111111111111111,2.2222222222222223,30.77777777777778,15.222222222222221,3.6666666666666665,3.111111111111111,25.444444444444443,7.222222222222222,21.666666666666668,467.6666666666667,79.0
ManchesterUnited_5527,54.8,10.8,12.1,4.3,4.4,6.5,2.4,31.7,16.2,3.7,3.4,24.3,7.6,21.1,479.1,79.8
ManchesterUnited_5538,55.27272727272727,11.090909090909092,12.0,4.363636363636363,4.454545454545454,6.0,2.3636363636363638,32.81818181818182,16.363636363636363,3.5454545454545454,3.1818181818181817,24.363636363636363,8.636363636363637,22.0,485.8181818181818,80.45454545454545
ManchesterUnited_5556,55.0,11.583333333333334,11.5,4.333333333333333,4.083333333333333,5.75,2.3333333333333335,33.416666666666664,16.75,3.25,3.0833333333333335,25.916666666666668,8.75,22.416666666666668,492.6666666666667,80.58333333333333
ManchesterUnited_5583,56.15384615384615,11.538461538461538,11.76923076923077,4.153846153846154,4.384615384615385,5.846153846153846,2.230769230769231,33.07692307692308,16.615384615384617,3.076923076923077,3.230769230769231,26.307692307692307,8.846153846153847,22.46153846153846,505.9230769230769,81.38461538461539
ManchesterUnited_5591,56.857142857142854,11.428571428571429,12.142857142857142,4.142857142857143,4.285714285714286,5.928571428571429,2.2142857142857144,31.857142857142858,16.071428571428573,3.142857142857143,3.7142857142857144,26.142857142857142,8.857142857142858,22.857142857142858,510.92857142857144,81.71428571428571
ManchesterUnited_5604,57.2,11.466666666666667,12.2,4.133333333333334,4.266666666666667,5.933333333333334,2.1333333333333333,32.4,16.266666666666666,3.1333333333333333,3.8,26.666666666666668,8.666666666666666,22.466666666666665,508.6,81.8
ManchesterUnited_5619,57.3125,11.6875,11.875,3.9375,4.1875,5.625,2.125,32.3125,16.25,3.3125,3.75,26.375,8.5625,22.125,509.875,81.75
