,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HerthaBerlin_6094,41.0,20.0,7.0,6.0,1.0,1.0,1.0,40.0,23.0,5.0,0.0,33.0,4.0,30.0,360.0,69.0
HerthaBerlin_6105,32.5,14.5,4.5,4.0,0.5,1.5,0.5,35.5,17.0,4.5,0.0,27.5,3.0,22.0,318.0,69.5
HerthaBerlin_6108,36.333333333333336,14.0,5.0,4.0,0.6666666666666666,1.3333333333333333,1.0,36.666666666666664,17.666666666666668,3.3333333333333335,0.3333333333333333,30.0,4.666666666666667,22.333333333333332,346.6666666666667,71.66666666666667
HerthaBerlin_6128,33.5,16.0,6.0,3.5,1.75,1.0,2.0,32.75,15.25,3.75,0.75,33.25,5.0,21.5,316.75,69.25
HerthaBerlin_6144,36.0,16.8,5.8,3.2,2.0,1.4,2.4,31.6,14.4,4.2,0.6,32.8,5.0,20.6,333.4,71.4
HerthaBerlin_6164,39.833333333333336,16.666666666666668,6.5,3.3333333333333335,2.3333333333333335,1.6666666666666667,2.1666666666666665,32.666666666666664,15.333333333333334,4.0,0.8333333333333334,29.166666666666668,4.833333333333333,19.666666666666668,372.5,73.5
HerthaBerlin_6178,43.714285714285715,15.571428571428571,8.142857142857142,4.0,2.7142857142857144,1.7142857142857142,2.142857142857143,36.142857142857146,17.428571428571427,3.7142857142857144,1.4285714285714286,27.285714285714285,4.857142857142857,21.0,411.2857142857143,74.85714285714286
HerthaBerlin_6192,42.75,15.375,7.375,3.5,2.625,1.625,2.25,38.875,18.375,4.0,1.375,26.625,4.75,21.375,402.5,73.0
HerthaBerlin_6227,43.0,15.333333333333334,7.222222222222222,3.3333333333333335,2.7777777777777777,1.7777777777777777,2.2222222222222223,38.666666666666664,18.444444444444443,4.222222222222222,1.2222222222222223,25.77777777777778,4.555555555555555,21.555555555555557,405.8888888888889,73.11111111111111
HerthaBerlin_6234,44.9,15.6,7.5,3.1,2.9,2.0,2.2,41.5,19.9,4.0,1.6,25.5,4.6,21.3,426.0,73.8
HerthaBerlin_6247,44.81818181818182,15.727272727272727,7.2727272727272725,3.0,2.8181818181818183,2.0,2.1818181818181817,41.36363636363637,19.636363636363637,3.727272727272727,1.5454545454545454,26.90909090909091,4.818181818181818,20.727272727272727,427.3636363636364,73.9090909090909
HerthaBerlin_6269,45.916666666666664,15.333333333333334,7.333333333333333,2.8333333333333335,2.8333333333333335,2.0,2.1666666666666665,41.666666666666664,19.666666666666668,3.5833333333333335,1.75,28.916666666666668,5.333333333333333,21.0,437.0833333333333,74.08333333333333
HerthaBerlin_6282,47.92307692307692,15.076923076923077,7.384615384615385,3.076923076923077,2.769230769230769,2.5384615384615383,2.230769230769231,41.53846153846154,19.615384615384617,3.4615384615384617,1.75,28.0,5.6923076923076925,21.615384615384617,455.6923076923077,74.92307692307692
HerthaBerlin_6300,47.357142857142854,14.857142857142858,7.785714285714286,3.0,3.0714285714285716,2.642857142857143,2.142857142857143,42.0,19.285714285714285,3.642857142857143,1.8392857142857142,28.142857142857142,5.642857142857143,21.642857142857142,454.2857142857143,74.92857142857143
HerthaBerlin_6310,47.4,15.066666666666666,7.666666666666667,2.933333333333333,3.0,2.6666666666666665,2.2,43.46666666666667,20.266666666666666,3.6,1.85,28.133333333333333,5.933333333333334,22.066666666666666,453.53333333333336,74.4
HerthaBerlin_6324,48.0625,15.1875,7.8125,2.875,3.25,2.625,2.125,43.25,20.0,3.5,1.796875,27.8125,6.0,22.0,465.0625,75.0
HerthaBerlin_6338,47.529411764705884,15.117647058823529,8.352941176470589,3.0,3.6470588235294117,2.823529411764706,2.0,43.76470588235294,20.294117647058822,3.411764705882353,1.75,27.58823529411765,6.411764705882353,21.647058823529413,455.05882352941177,74.58823529411765
